Feature,Weight
sma_up,0.010929107
sma_down,0.026105126
macd,0.03986219
is_up,0.03398132
upper_days_counts,0.04795743
ma_amount_days_ratio_3,0.058861475
ma_amount_days_ratio_5,0.07648744
ma_amount_days_ratio_8,0.08094807
ma_amount_days_ratio_11,0.074188486
total_score,0.03980853
amount,0.04547215
free_amount,0.08173602
increase,0.09115829
amplitude,0.079753175
jgcyd,0.053885028
lspf,0.049006745
focus,0.05679183
last_desire_daily,0.053067636
