Feature,Weight
sma_up,0.009448374
sma_down,0.002310595
macd,0.026980307
is_up,0.104089126
upper_days_counts,0.04984467
ma_amount_days_ratio_3,0.02853057
ma_amount_days_ratio_5,0.04393299
ma_amount_days_ratio_8,0.032188226
ma_amount_days_ratio_11,0.024666421
total_score,0.068735816
amount,0.04224839
free_amount,0.054308973
increase,0.05964768
amplitude,0.04455619
jgcyd,0.087808244
lspf,0.04816691
focus,0.15002674
last_desire_daily,0.12250977
