Feature,Weight
sma_up,0.0
sma_down,0.0
macd,0.058269262
is_up,0.0
upper_days_counts,0.07519054
ma_amount_days_ratio_3,0.047431014
ma_amount_days_ratio_5,0.055953655
ma_amount_days_ratio_8,0.050543994
ma_amount_days_ratio_11,0.06387766
total_score,0.08466994
amount,0.05366937
free_amount,0.059090853
increase,0.05569353
amplitude,0.07220638
jgcyd,0.09119931
lspf,0.06158854
focus,0.06524032
last_desire_daily,0.105375625
