date	code	close	amount	zhang	zhen	sma_up	sma_down	macd	is_up	consecutive_upper_days	upper_count_in_days	ma_amount_3_days_ratio	ma_amount_5_days_ratio	ma_amount_8_days_ratio	ma_amount_11_days_ratio	total_score	amount_score	free_amount	free_amount_score	increase	increase_score	amplitude	amplitude_score	jgcyd	jgcyd_score	lspf	lspf_score	focus	focus_score	last_desire_daily	desire_daily_score	high_rating	0_open	0_high	0_low	0_close	0_amount	0_day_open	0_day_max	0_day_min	0_day_close	1_open	1_high	1_low	1_close	1_amount	1_day_open	1_day_max	1_day_min	1_day_close	2_open	2_high	2_low	2_close	2_amount	2_day_open	2_day_max	2_day_min	2_day_close	3_open	3_high	3_low	3_close	3_amount	3_day_open	3_day_max	3_day_min	3_day_close
20250508	300422	4.46	0.367049433	0.01594533	0.034482759	1	1	0.098937764	0	0	0	1.348	1.277	0.719	0.696	5	0	21.855904	0	20.54054054	0	30.43478261	50	24.3608	0	58.0824	0	65.7333	0	3.05	50	FALSE	4.38	4.5	4.35	4.46	30862594	-1.793721973	0.896860987	-2.466367713	0	4.45	4.5	4.4	4.42	21289078	-0.224215247	0.896860987	-1.34529148	-0.896860987	4.45	4.49	4.33	4.41	21654876	-0.224215247	0.67264574	-2.914798206	-1.121076233	4.47	4.49	4.36	4.39	21194916	0.224215247	0.67264574	-2.242152466	-1.569506726
20250508	300423	7.39	1.780169947	0	0.037241379	0	0	-0.084482575	0	0	1	0.94	1.427	1.515	1.344	10	0	24.332893	0	-6.337135615	0	45.5008489	50	25.9102	0	51.3958	0	72.1333	50	-2.3	0	FALSE	7.34	7.52	7.25	7.39	101370200	-0.676589986	1.759133965	-1.894451962	0	7.37	7.37	7.07	7.2	89809104	-0.270635995	-0.270635995	-4.330175913	-2.571041949	7.2	7.31	7.16	7.2	65276652	-2.571041949	-1.082543978	-3.112313938	-2.571041949	7.27	7.31	7.08	7.24	65430444	-1.623815968	-1.082543978	-4.194857916	-2.029769959
20250508	300428	18.17	1.622577973	0.032386364	0.062896711	1	1	0.574175624	0	0	0	1.88	1.066	1.042	0.964	30	0	115.023746	100	19.14754098	0	29.71830986	0	25.9516	0	75.6163	100	73.7333	50	1.12	0	FALSE	17.5	18.42	17.33	18.17	209453472	-3.687396808	1.375894331	-4.623004953	0	18.13	18.22	17.75	17.89	134621552	-0.220143093	0.275178866	-2.311502477	-1.541001651	18.04	18.31	17.89	18.01	148064000	-0.715465052	0.770500826	-1.541001651	-0.880572372	18.18	18.27	17.91	18.07	111530632	0.055035773	0.550357733	-1.430930105	-0.550357733
20250508	300452	12.23	0.732752293	0.00410509	0.024793388	1	1	-0.026207415	0	0	0	1.147	0.565	0.474	0.714	15	0	21.668932	0	9.686098655	0	28.80698351	0	20.2543	0	70.599	100	72.9333	50	1	0	FALSE	12.16	12.4	12.1	12.23	77829968	-0.572363042	1.39002453	-1.062959935	0	12.23	12.37	12.15	12.19	58571896	0	1.144726083	-0.654129191	-0.327064595	12.2	12.4	12.16	12.21	76900080	-0.245298446	1.39002453	-0.572363042	-0.163532298	12.29	12.32	12.08	12.14	53858592	0.490596893	0.735895339	-1.226492232	-0.735895339
20250508	300458	41.31	16.79904299	-0.002414876	0.02200489	0	0	-1.347354942	0	0	0	1.153	1.205	0.968	0.787	53.5	100	311.04073	50	-3.391019645	0	31.34020619	50	34.982	80	66.8014	50	84	80	1	0	FALSE	41.03	41.8	40.9	41.31	1315082368	-0.677801985	1.186153474	-0.992495764	0	41.06	41.08	39.88	40.2	1288399232	-0.605180344	-0.556765916	-3.461631566	-2.687000726	40.69	41.19	40.48	40.94	1150369024	-1.500847252	-0.290486565	-2.009198741	-0.895666909	41.42	41.67	40.35	40.43	1144508800	0.266279351	0.871459695	-2.32389252	-2.13023481
20250508	300464	5.03	0.937044533	0.026530612	0.068181818	1	1	0.070712804	0	0	0	1.079	0.395	0.541	1.79	20	0	17.518394	0	27.66497462	0	59.15492958	100	18.8033	0	61.7759	50	75.4667	50	1.93	0	FALSE	4.9	5.17	4.84	5.03	118504120	-2.584493042	2.783300199	-3.777335984	0	5.01	5.02	4.87	4.94	72076056	-0.397614314	-0.198807157	-3.180914513	-1.789264414	5.1	5.15	4.94	5.07	90945008	1.391650099	2.385685885	-1.789264414	0.795228628	5.17	5.34	5.06	5.09	146178672	2.783300199	6.163021869	0.596421471	1.192842942
20250508	300466	12.76	9.903280427	-0.04988831	0.054675119	1	1	0.159296072	0	0	8	1.373	1.128	1.153	1.365	58	60	35.614835	100	58.90410959	50	106.6957787	100	36.0516	80	57.2023	0	85.3333	80	1	0	FALSE	12.98	13.31	12.62	12.76	817273344	1.724137931	4.310344828	-1.097178683	0	12.89	13.57	11.92	12.18	827362688	1.018808777	6.347962382	-6.5830721	-4.545454545	12.02	12.78	12.02	12.62	555793536	-5.799373041	0.156739812	-5.799373041	-1.097178683	12.42	12.56	11.67	11.99	668715584	-2.664576803	-1.567398119	-8.542319749	-6.034482759
20250508	300469	32.55	5.777793707	0.008052028	0.043342688	1	1	0.289838263	0	0	0	1.627	1.736	1.364	1.017	52	60	86.757278	100	23.85844749	0	41.13767519	50	44.4317	100	60.0919	50	71.0667	50	1	0	FALSE	32.11	33.46	32.07	32.55	463839968	-1.351766513	2.795698925	-1.474654378	0	32.4	32.52	31.28	31.57	226134976	-0.460829493	-0.092165899	-3.901689708	-3.010752688	31.88	31.98	30.96	31.27	275116256	-2.058371736	-1.751152074	-4.884792627	-3.932411674	31.37	31.87	30.97	31.27	218244384	-3.625192012	-2.089093702	-4.854070661	-3.932411674
20250508	300476	79.82	42.69519872	0.034071771	0.044268467	1	1	0.313433927	0	0	0	1.672	0.885	0.801	0.854	55	100	552.97795	0	30.38222803	0	40.6440678	50	49.6148	100	78.8875	100	90.1333	100	1.95	0	FALSE	77.95	80.44	77.03	79.82	4741701120	-2.342771235	0.776747682	-3.49536457	0	78.91	78.91	76.38	77.26	2857850880	-1.140065147	-1.140065147	-4.309696818	-3.207216237	79.5	81.15	78.1	80.04	3708555264	-0.40090203	1.66624906	-2.154848409	0.275620145	80.5	82.68	78.65	79.35	4069344512	0.851916813	3.583061889	-1.465798046	-0.588824856
20250508	300479	20.45	1.46793064	0.014888337	0.025025025	1	1	0.378948184	0	0	0	1.049	0.936	0.947	0.887	25	0	46.225787	100	15.53672316	0	25	0	22.2628	0	62.3165	50	73.6	50	1.72	0	FALSE	19.98	20.48	19.98	20.45	127012616	-2.298288509	0.146699267	-2.298288509	0	20.35	20.36	19.92	19.96	103154184	-0.488997555	-0.4400978	-2.591687042	-2.39608802	20.15	20.37	20.04	20.33	95494248	-1.466992665	-0.391198044	-2.004889976	-0.586797066	20.66	20.67	19.9	19.95	110424576	1.026894866	1.075794621	-2.689486553	-2.444987775
20250508	300485	8.29	0.886967493	0.018427518	0.034782609	1	1	0.029647519	0	0	2	0.947	0.569	1.209	0.542	10	0	19.714837	0	4.539722573	0	23.45323741	0	19.7047	0	64.8257	50	70.9333	50	2.49	0	FALSE	8.08	8.33	8.05	8.29	93114856	-2.533172497	0.482509047	-2.895054282	0	8.38	8.41	8.15	8.19	83373880	1.085645356	1.447527141	-1.688781665	-1.206272618	8.17	8.2	7.99	8.07	76200872	-1.447527141	-1.085645356	-3.618817853	-2.653799759	8.15	8.2	8.06	8.13	51036244	-1.688781665	-1.085645356	-2.774427021	-1.930036188
20250508	300500	11.37	0.480819067	0.000880282	0.016888889	1	1	0.366785759	0	0	0	0.957	1.819	2.035	1.238	5	0	19.290525	0	21.60427807	0	33.67935409	50	10.3671	0	55.0556	0	69.2	0	1.05	0	FALSE	11.31	11.44	11.25	11.37	32968100	-0.527704485	0.615655233	-1.055408971	0	11.4	11.5	11.27	11.29	32118598	0.263852243	1.143359719	-0.879507476	-0.703605981	11.33	11.43	11.14	11.25	35655208	-0.35180299	0.527704485	-2.022867194	-1.055408971	11.36	11.46	11.18	11.22	29564912	-0.087950748	0.791556728	-1.671064204	-1.319261214
20250508	300502	107.95	55.92802731	0.14596603	0.135751295	1	1	5.788078428	0	0	0	1.913	0.949	1.464	1.402	65	100	594.90436	0	53.40343897	50	66.97135893	100	46.1591	100	84.821	100	92	100	2.77	0	FALSE	96.5	109.6	96.5	107.95	10028082176	-10.60676239	1.52848541	-10.60676239	0	106.26	110.92	106.2	109.21	6097986560	-1.565539602	2.751273738	-1.621120889	1.16720704	114	115.08	109.5	112.84	6581492224	5.604446503	6.60490968	1.435849931	4.529874942	115	118.88	113	115.88	7032391168	6.530801297	10.1250579	4.678091709	7.345993516
20250508	300507	8.61	7.11248656	-0.014874142	0.104705882	1	1	0.457363631	0	0	0	3.093	3.172	1.599	1.247	52	60	62.956203	100	10.81081081	0	68.27956989	100	22.3055	0	68.5249	100	78.9333	50	-1.13	0	FALSE	8.9	9.39	8.5	8.61	1330800512	3.368176539	9.059233449	-1.277584204	0	8.5	9.21	8.33	8.99	1043629888	-1.277584204	6.968641115	-3.25203252	4.413472706	8.9	9.3	8.6	9.02	935490752	3.368176539	8.013937282	-0.116144019	4.761904762	9	9.04	8.54	8.61	637910528	4.529616725	4.994192799	-0.81300813	0
20250508	300510	4.28	1.00809408	0.04136253	0.04622871	1	1	0.101983636	0	0	0	1.409	1.114	0.951	0.845	25	0	33.72985	100	16.30434783	0	28.74251497	0	20.0397	0	61.2604	50	73.2	50	4.37	50	FALSE	4.13	4.3	4.11	4.28	130644608	-3.504672897	0.46728972	-3.971962617	0	4.26	4.27	4.16	4.17	78890616	-0.46728972	-0.23364486	-2.803738318	-2.570093458	4.2	4.22	4.15	4.2	76858096	-1.869158879	-1.401869159	-3.037383178	-1.869158879	4.25	4.27	4.17	4.18	66426288	-0.700934579	-0.23364486	-2.570093458	-2.336448598
