603686	57.0	2025-04-02 22:44
301396	52.0	2025-04-02 22:44
600081	57.0	2025-04-02 22:44
000601	58.0	2025-04-02 22:44
000837	66.0	2025-04-02 22:44
300687	62.0	2025-04-02 22:44
600318	57.0	2025-04-02 22:44
603690	61.0	2025-04-02 22:44
603678	57.0	2025-04-02 22:45
300476	50.0	2025-04-02 22:45
000997	50.5	2025-04-02 22:45
600468	52.0	2025-04-02 22:45
300260	76.0	2025-04-02 22:45
300809	56.0	2025-04-02 22:45
601595	50.0	2025-04-02 22:45
600403	50.0	2025-04-02 22:45
002801	57.0	2025-04-02 22:46
300100	71.0	2025-04-02 22:46
600882	62.0	2025-04-02 22:46
300611	55.0	2025-04-02 22:46
600619	52.0	2025-04-02 22:46
603011	76.0	2025-04-02 22:46
600367	52.0	2025-04-02 22:46
603015	57.0	2025-04-02 22:46
600353	57.0	2025-04-02 22:46
002645	57.0	2025-04-02 22:46
002773	67.0	2025-04-02 22:47
300421	51.0	2025-04-02 22:47
002361	53.0	2025-04-02 22:47
300328	53.0	2025-04-02 22:47
603693	72.0	2025-04-02 22:47
603267	57.0	2025-04-02 22:47
002165	50.0	2025-04-02 22:47
002708	62.0	2025-04-02 22:47
601069	62.0	2025-04-02 22:47
